name	type	blazhko	period	log10(P_f/P_0)	metallicity	prior_mu	prior_mu_err	SF_ebv	SF_ebv_err	m_U_obs	m_U_obs_err	m_B_obs	m_B_obs_err	m_hipp_obs	m_hipp_obs_err	m_V_obs	m_V_obs_err	m_R_obs	m_R_obs_err	m_I_obs	m_I_obs_err	m_z_obs	m_z_obs_err	m_J_obs	m_J_obs_err	m_H_obs	m_H_obs_err	m_K_obs	m_K_obs_err	m_W1_obs	m_W1_obs_err	m_W2_obs	m_W2_obs_err	m_W3_obs	m_W3_obs_err	post_mu	post_mu_err	post_ebv	post_ebv_err	M_U_fit	M_U_fit_err	M_B_fit	M_B_fit_err	M_hipp_fit	M_hipp_fit_err	M_V_fit	M_V_fit_err	M_R_fit	M_R_fit_err	M_I_fit	M_I_fit_err	M_z_fit	M_z_fit_err	M_J_fit	M_J_fit_err	M_H_fit	M_H_fit_err	M_K_fit	M_K_fit_err	M_W1_fit	M_W1_fit_err	M_W2_fit	M_W2_fit_err	M_W3_fit	M_W3_fit_err
VXScl	RRab	False	0.6373	0.0813	-2.25	11.6447	0.1350	0.0151	0.0005	---	---	---	---	12.1950	0.0443	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.7601	0.0072	10.6749	0.0869	11.3923	0.0184	0.0797	0.0204	---	---	---	---	0.5369	0.0809	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6408	0.0195	-0.7192	0.0888
VYLib	RRab	False	0.5339	0.0044	-1.34	10.5978	0.1264	0.1566	0.0049	---	---	---	---	11.8212	0.0066	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.0482	0.0061	10.0325	0.0078	---	---	10.4837	0.0129	0.2311	0.0158	---	---	---	---	0.5668	0.0518	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4759	0.0140	-0.4761	0.0149	---	---
VYSer	RRab	False	0.7141	0.1307	-1.79	9.4979	0.1251	0.0364	0.0004	---	---	---	---	10.2226	0.0033	---	---	---	---	---	---	---	---	---	---	---	---	---	---	8.7341	0.0050	8.7334	0.0045	8.6972	0.0166	9.4782	0.0210	0.0698	0.0175	---	---	---	---	0.5117	0.0600	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.7563	0.0215	-0.7523	0.0213	-0.7827	0.0267
VZHer	RRab	False	0.4403	-0.0793	-1.02	10.6984	0.1276	0.0266	0.0007	---	---	---	---	11.5694	0.0118	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.4700	0.0042	10.4727	0.0043	10.5192	0.0687	10.7519	0.0151	0.0643	0.0161	---	---	---	---	0.6030	0.0550	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2932	0.0155	-0.2861	0.0155	-0.2343	0.0703
VZPeg	RRc	False	0.3065	-0.1097	-1.80	11.2823	0.1253	0.0329	0.0016	---	---	---	---	11.9648	0.0057	---	---	---	---	---	---	---	---	---	---	---	---	---	---	11.0216	0.0057	11.0396	0.0059	11.0036	0.1213	11.2476	0.0179	0.0288	0.0148	---	---	---	---	0.6210	0.0508	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2310	0.0187	-0.2111	0.0188	-0.2446	0.1226
WCrt	RRab	False	0.4120	-0.1082	-0.54	10.6282	0.1339	0.0420	0.0027	---	---	---	---	11.6604	0.0214	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.4641	0.0064	10.4724	0.0058	---	---	10.6785	0.0179	0.1032	0.0139	---	---	---	---	0.6378	0.0520	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.2324	0.0188	-0.2171	0.0187	---	---
WCVn	RRab	False	0.5518	0.0187	-1.22	9.8910	0.1258	0.0045	0.0005	10.8266	0.0271	10.8711	0.0064	10.6432	0.0027	10.4831	0.0052	10.2615	0.0053	---	---	---	---	---	---	---	---	9.4288	0.0076	9.3375	0.0042	9.3399	0.0046	9.3240	0.0184	9.8352	0.0123	0.0708	0.0080	0.6505	0.0479	0.7421	0.0349	0.5720	0.0284	0.4263	0.0274	0.2416	0.0238	---	---	---	---	---	---	---	---	-0.4315	0.0145	-0.5101	0.0130	-0.5029	0.0131	-0.5128	0.0221
WTuc	RRab	False	0.6422	0.0846	-1.57	10.8059	0.1250	0.0180	0.0002	---	---	---	---	11.5222	0.0059	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.2932	0.0042	10.3003	0.0049	---	---	10.9455	0.0165	0.0193	0.0132	---	---	---	---	0.5124	0.0461	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.6557	0.0171	-0.6473	0.0172	---	---
WYAnt	RRab	False	0.5743	0.0361	-1.48	10.0935	0.1257	0.0584	0.0009	---	---	---	---	10.9542	0.0135	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.5439	0.0053	9.5613	0.0047	9.4897	0.0290	10.0826	0.0136	0.0928	0.0163	---	---	---	---	0.5622	0.0551	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5549	0.0144	-0.5313	0.0142	-0.5950	0.0321
WYPav	RRab	False	0.5886	0.0467	-0.98	11.2003	0.1276	0.0932	0.0009	---	---	---	---	12.2915	0.0087	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.5348	0.0053	10.5373	0.0054	10.3797	0.0591	11.0750	0.0141	0.1985	0.0153	---	---	---	---	0.5547	0.0512	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5749	0.0149	-0.5590	0.0149	-0.7000	0.0607
WZHya	RRab	False	0.5377	0.0075	-1.39	10.0638	0.1253	0.0700	0.0011	---	---	---	---	10.9904	0.0047	---	---	---	---	---	---	---	---	---	---	---	---	---	---	9.6012	0.0054	9.6064	0.0051	9.5793	0.0342	10.0701	0.0125	0.1049	0.0155	---	---	---	---	0.5706	0.0508	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4873	0.0134	-0.4750	0.0133	-0.4932	0.0363
XAri	RRab	False	0.6511	0.0906	-2.43	8.6270	0.1314	0.1816	0.0053	---	---	---	---	9.6448	0.0185	9.5478	0.0397	9.2420	0.0128	8.8414	0.0342	9.2763	0.0087	---	---	---	---	---	---	7.8611	0.0049	7.8673	0.0041	7.8374	0.0112	8.5017	0.0171	0.1996	0.0111	---	---	---	---	0.4776	0.0435	0.4212	0.0544	0.2195	0.0348	-0.0317	0.0428	0.4726	0.0246	---	---	---	---	---	---	-0.6754	0.0178	-0.6558	0.0176	-0.6689	0.0205
XCrt	RRab	True	0.7328	0.1419	-2.00	10.9310	0.1260	0.0235	0.0011	---	---	---	---	11.5665	0.0053	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.1221	0.0068	10.1258	0.0054	---	---	10.8957	0.0224	0.0496	0.0177	---	---	---	---	0.5055	0.0614	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.7823	0.0234	-0.7752	0.0230	---	---
XXAnd	RRab	False	0.7227	0.1359	-1.94	10.0755	0.1257	0.0400	0.0006	11.3344	0.0187	10.9785	0.0294	10.7737	0.0041	10.6322	0.0057	10.3853	0.0096	10.2381	0.0332	10.8157	0.0483	9.8546	0.0103	9.5945	0.0082	9.5284	0.0076	9.3857	0.0039	9.3966	0.0036	9.2910	0.0164	10.1516	0.0213	0.0350	0.0112	1.0143	0.0603	0.6818	0.0584	0.5055	0.0426	0.3711	0.0409	0.1425	0.0369	0.0215	0.0444	0.6111	0.0553	-0.3288	0.0256	-0.5770	0.0236	-0.6355	0.0229	-0.7720	0.0217	-0.7587	0.0217	-0.8614	0.0269
XXPup	RRab	False	0.5172	-0.0094	-1.33	10.4890	0.1259	0.0727	0.0010	---	---	---	---	11.3809	0.0117	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.0098	0.0053	10.0262	0.0076	10.0025	0.0471	10.4448	0.0127	0.1060	0.0161	---	---	---	---	0.5827	0.0536	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.4536	0.0135	-0.4300	0.0146	-0.4447	0.0488
XZAps	RRab	False	0.5873	0.0458	-1.06	11.3132	0.1285	0.1255	0.0063	---	---	---	---	12.4955	0.0090	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.8324	0.0042	10.8339	0.0049	---	---	11.3743	0.0138	0.1705	0.0162	---	---	---	---	0.5525	0.0540	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5717	0.0143	-0.5587	0.0145	---	---
XZCyg	RRab	True	0.4666	-0.0542	-1.44	8.9900	0.2218	0.1096	0.0024	10.4268	0.0102	9.8155	0.0492	9.7733	0.0130	9.6300	0.0101	9.4501	0.0114	---	---	---	---	---	---	---	---	8.8196	0.0071	8.6225	0.0029	8.6271	0.0032	8.5596	0.0064	8.9601	0.0132	0.0660	0.0082	1.1487	0.0415	0.5816	0.0603	0.5930	0.0319	0.4633	0.0294	0.3177	0.0265	---	---	---	---	---	---	---	---	-0.1638	0.0150	-0.3491	0.0134	-0.3401	0.0135	-0.4020	0.0146
XZDra	RRab	True	0.4765	-0.0450	-0.79	9.3182	0.1293	0.0653	0.0016	11.1269	0.0119	10.5170	0.0205	10.3450	0.0083	10.1573	0.0032	9.9620	0.0047	---	---	---	---	9.4753	0.0085	9.2333	0.0081	9.1867	0.0071	9.0883	0.0030	9.1010	0.0026	9.0397	0.0094	9.4457	0.0128	0.0867	0.0076	1.2636	0.0394	0.7115	0.0387	0.6102	0.0285	0.4403	0.0261	0.2901	0.0230	---	---	---	---	-0.0492	0.0163	-0.2618	0.0154	-0.2897	0.0146	-0.3725	0.0131	-0.3539	0.0130	-0.4080	0.0159
YZCap	RRc	False	0.2735	-0.1592	-1.06	10.4375	0.1269	0.0562	0.0015	---	---	---	---	11.3667	0.0052	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.3057	0.0057	10.3386	0.0073	10.4164	0.0972	10.4188	0.0230	0.0877	0.0176	---	---	---	---	0.6553	0.0610	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.1284	0.0236	-0.0897	0.0240	-0.0042	0.0999
ZMic	RRab	False	0.5869	0.0455	-1.10	10.7181	0.1269	0.0818	0.0028	---	---	---	---	11.7528	0.0060	---	---	---	---	---	---	---	---	---	---	---	---	---	---	10.0802	0.0051	10.0819	0.0053	10.0647	0.0589	10.6220	0.0139	0.1720	0.0152	---	---	---	---	0.5574	0.0506	---	---	---	---	---	---	---	---	---	---	---	---	---	---	-0.5719	0.0146	-0.5585	0.0147	-0.5613	0.0605
